kod,nazev,registrovani,obalky,platne,Občanská demokratická strana,Řád národa - Vlastenecká unie,CESTA ODPOVĚDNÉ SPOLEČNOSTI,Česká str.sociálně demokrat.,Radostné Česko,STAROSTOVÉ A NEZÁVISLÍ,Komunistická str.Čech a Moravy,Strana zelených,"ROZUMNÍ-stop migraci,diktát.EU",Strana svobodných občanů,Blok proti islam.-Obran.domova,Občanská demokratická aliance,Česká pirátská strana,Referendum o Evropské unii,TOP 09,ANO 2011,Dobrá volba 2016,SPR-Republ.str.Čsl. M.Sládka,Křesť.demokr.unie-Čs.str.lid.,Česká strana národně sociální,REALISTÉ,SPORTOVCI,Dělnic.str.sociální spravedl.,Svob.a př.dem.-T.Okamura (SPD),Strana Práv Občanů,Národ Sobě
596698,Řikonín,27,25,25,6,0,0,3,0,2,1,1,1,0,0,0,2,0,0,5,0,1,1,0,0,0,0,1,1,0
591661,Senorady,329,209,208,31,1,0,17,0,5,30,2,0,2,0,0,14,0,4,57,0,0,17,0,0,2,2,23,1,0
583847,Sentice,481,339,336,48,0,1,13,1,10,27,2,0,4,0,2,38,1,15,92,0,0,26,0,1,1,0,53,1,0
583855,Silůvky,652,477,473,53,0,1,23,0,25,30,10,1,9,0,0,37,4,9,166,1,1,45,0,2,1,5,50,0,0
583863,Sivice,841,621,617,42,0,3,48,2,19,31,7,2,2,1,1,43,1,23,112,2,2,195,0,3,2,0,74,1,1
545295,Skalička,132,86,86,20,0,1,4,0,4,9,0,0,1,0,1,7,0,0,24,0,0,5,0,0,0,0,9,1,0
549894,Skryje,53,33,33,2,0,0,1,0,1,8,0,0,0,1,0,2,0,4,8,0,0,2,0,0,0,0,4,0,0
583880,Sobotovice,442,288,285,40,0,0,17,1,9,17,3,6,9,0,0,18,0,13,75,1,1,24,0,1,0,0,50,0,0
583898,Sokolnice,1768,1141,1135,172,0,2,85,0,38,76,19,10,27,1,2,84,4,70,281,1,3,94,0,5,5,0,149,6,1
583901,Stanoviště,299,187,187,24,0,0,14,0,6,17,2,2,2,0,0,9,10,5,42,0,0,33,0,1,1,0,19,0,0
582379,Strhaře,104,82,81,1,0,0,5,0,2,7,2,1,0,0,0,10,1,1,27,0,0,18,0,0,0,0,6,0,0
583910,Střelice,2312,1637,1631,206,3,1,92,1,46,65,23,11,27,1,5,180,2,75,408,3,3,322,0,13,5,2,135,1,1
583928,Svatoslav,356,227,225,13,0,0,34,0,7,29,0,2,11,1,0,14,0,6,70,0,0,13,0,0,0,1,23,1,0
582450,Synalov,99,69,69,3,0,1,6,0,0,13,0,1,1,0,0,0,0,0,17,0,0,19,0,0,1,0,7,0,0
583936,Syrovice,1219,837,831,140,3,0,74,1,24,44,13,13,12,1,0,82,0,44,198,0,2,96,0,2,7,2,68,5,0
583944,Šerkovice,231,136,135,15,0,0,8,0,9,12,1,0,4,0,0,16,0,7,36,0,0,5,0,0,1,0,21,0,0
583952,Šlapanice,5805,4058,4033,589,2,1,294,0,261,179,63,14,95,5,4,386,5,193,993,1,7,499,0,26,11,5,384,14,2
583961,Štěpánovice,418,300,300,42,0,0,24,0,14,25,2,4,5,1,0,31,0,5,71,1,2,38,0,0,1,2,31,1,0
594903,Šumice,211,102,102,0,0,0,7,0,4,13,3,0,1,0,0,12,0,3,41,0,1,1,0,0,2,0,13,1,0
583979,Telnice,1233,875,864,100,1,1,141,1,31,42,6,2,8,0,2,70,2,30,185,0,3,108,0,2,0,2,123,3,1
583995,Těšany,965,584,582,67,0,0,48,0,16,51,4,8,1,1,0,34,0,26,159,0,1,71,0,2,2,1,88,1,1
583987,Tetčice,893,607,600,92,0,0,47,0,16,41,12,3,10,0,1,56,0,21,167,2,1,26,0,9,2,1,92,0,1
584002,Tišnov,7112,4432,4400,506,2,2,393,2,219,318,109,24,73,4,5,426,2,201,1185,2,11,394,2,45,9,4,445,13,4
596892,Tišnovská Nová Ves,71,50,50,5,0,0,5,0,0,4,1,0,2,0,0,6,0,1,8,0,0,14,0,0,0,0,3,1,0
584011,Trboušany,300,206,206,23,0,0,8,0,9,5,6,1,3,0,1,11,0,7,77,0,0,39,0,1,0,0,15,0,0
594962,Troskotovice,544,303,301,14,1,0,27,0,6,39,2,7,5,0,1,14,1,6,118,0,1,11,0,1,0,0,45,2,0
584029,Troubsko,1766,1242,1233,229,4,2,59,1,41,43,21,4,17,1,3,117,3,52,372,0,3,115,0,10,4,3,123,6,0
584037,Tvarožná,1013,771,764,83,1,0,56,0,38,42,17,8,26,0,0,74,0,19,143,0,0,162,0,3,2,0,89,1,0
584045,Újezd u Brna,2591,1839,1828,209,0,4,155,1,58,109,23,14,40,3,1,144,7,70,482,1,7,233,2,8,8,0,242,6,1
584053,Újezd u Rosic,223,151,151,2,0,2,6,0,9,27,1,3,2,0,0,15,0,5,51,0,0,20,0,0,0,0,8,0,0
